group	name	wall_m	wall_p	g2q_m	g2q_p	gt_m	gt_p	d_m	d_p
abstract_hamiltonians	test_hamiltonians[ham_enc_stdbinary_dvalues_d-level-4-all-to-all]	0.009364654880858237	0.009343186213124183	3	3	30	30	19	19
abstract_hamiltonians	test_hamiltonians[ham_enc_stdbinary_dvalues_d-level-4-square]	0.009420347833397364	0.009390798441710927	3	3	30	30	19	19
abstract_hamiltonians	test_hamiltonians[ham_enc_stdbinary_dvalues_d-level-4-heavy-hex]	0.01005123500761233	0.01014910259982571	3	3	29	29	19	19
abstract_hamiltonians	test_hamiltonians[ham_enc_stdbinary_dvalues_d-level-4-linear]	0.009028242465770133	0.008827356449155896	3	3	30	30	19	19
abstract_hamiltonians	test_hamiltonians[ham_mu_y_prime_enc_stdbinary_dvalues_8-8-4-4-all-to-all]	0.0037184829428179625	0.00370796788654743	16	16	85	85	56	56
abstract_hamiltonians	test_hamiltonians[ham_mu_y_prime_enc_stdbinary_dvalues_8-8-4-4-square]	0.0056455597607758794	0.004878357838984434	22	22	117	117	69	69
abstract_hamiltonians	test_hamiltonians[ham_mu_y_prime_enc_stdbinary_dvalues_8-8-4-4-heavy-hex]	0.00552395482858022	0.005567379247129353	18	18	104	104	68	68
abstract_hamiltonians	test_hamiltonians[ham_mu_y_prime_enc_stdbinary_dvalues_8-8-4-4-linear]	0.00458084790174056	0.004594317235544249	18	18	104	104	68	68
abstract_hamiltonians	test_hamiltonians[ham_mu_y_prime_enc_unary_dvalues_4-4-4-all-to-all]	0.002475302796610581	0.0024592098969269576	6	6	58	58	32	32
abstract_hamiltonians	test_hamiltonians[ham_mu_y_prime_enc_unary_dvalues_4-4-4-square]	0.0023983477142709114	0.002435558536029481	6	6	58	58	32	32
abstract_hamiltonians	test_hamiltonians[ham_mu_y_prime_enc_unary_dvalues_4-4-4-heavy-hex]	0.003233678404379774	0.0032179520028282186	6	6	58	58	32	32
abstract_hamiltonians	test_hamiltonians[ham_mu_y_prime_enc_unary_dvalues_4-4-4-linear]	0.0024105255730712235	0.002559514509307014	6	6	58	58	32	32
abstract_hamiltonians	test_hamiltonians[ham_mu_z_prime_enc_gray_dvalues_4-4-4-4-all-to-all]	0.0019966600494099266	0.0020642807753441295	4	4	37	37	11	11
abstract_hamiltonians	test_hamiltonians[ham_mu_z_prime_enc_gray_dvalues_4-4-4-4-square]	0.002306059579189756	0.0020304740663634707	4	4	39	39	14	14
abstract_hamiltonians	test_hamiltonians[ham_mu_z_prime_enc_gray_dvalues_4-4-4-4-heavy-hex]	0.002837656402871722	0.002856393074501812	4	4	38	38	14	14
abstract_hamiltonians	test_hamiltonians[ham_mu_z_prime_enc_gray_dvalues_4-4-4-4-linear]	0.002429008183928279	0.002042650980384726	4	4	38	38	14	14
abstract_hamiltonians	test_hamiltonians[ham_gnp-k_2_n-4_rinst-05-all-to-all]	0.00422732729295438	0.0035377746153113653	21	21	98	98	75	75
abstract_hamiltonians	test_hamiltonians[ham_gnp-k_2_n-4_rinst-05-square]	0.005433627118111989	0.004670144278724589	31	31	161	161	106	106
abstract_hamiltonians	test_hamiltonians[ham_gnp-k_2_n-4_rinst-05-heavy-hex]	0.006212078418363543	0.005313984045965804	22	22	114	114	81	81
abstract_hamiltonians	test_hamiltonians[ham_gnp-k_2_n-4_rinst-05-linear]	0.00546739385794095	0.004674016923001669	33	33	167	167	109	109
abstract_hamiltonians	test_hamiltonians[ham_ham_parity-4-all-to-all]	0.005769865728135026	0.004969086432501898	47	47	196	196	159	159
abstract_hamiltonians	test_hamiltonians[ham_ham_parity-4-square]	0.006126966618467122	0.006074035074561834	66	66	286	286	196	196
abstract_hamiltonians	test_hamiltonians[ham_ham_parity-4-heavy-hex]	0.007467322094842445	0.006593181240096898	62	62	268	268	198	198
abstract_hamiltonians	test_hamiltonians[ham_ham_parity-4-linear]	0.007005235598679038	0.006140384845799062	62	62	320	320	222	222
abstract_hamiltonians	test_hamiltonians[ham_mu_y_prime_enc_stdbinary_dvalues_16-16-16-16-8-8-8-all-to-all]	0.006024499417551412	0.005219119421037083	49	49	246	246	165	165
abstract_hamiltonians	test_hamiltonians[ham_mu_y_prime_enc_stdbinary_dvalues_16-16-16-16-8-8-8-square]	0.0071855889203456735	0.00634269350387665	64	64	305	305	210	210
abstract_hamiltonians	test_hamiltonians[ham_mu_y_prime_enc_stdbinary_dvalues_16-16-16-16-8-8-8-heavy-hex]	0.006889684833297434	0.006851948320496181	72	72	332	332	212	212
abstract_hamiltonians	test_hamiltonians[ham_mu_y_prime_enc_stdbinary_dvalues_16-16-16-16-8-8-8-linear]	0.007443765990604135	0.006530190439474198	72	72	367	367	237	237
abstract_hamiltonians	test_hamiltonians[ham_mu_y_prime_enc_gray_dvalues_16-16-16-all-to-all]	0.0048255666492963735	0.0047943125464740746	58	58	256	256	190	190
abstract_hamiltonians	test_hamiltonians[ham_mu_y_prime_enc_gray_dvalues_16-16-16-square]	0.006025696742142032	0.006001364337060396	83	83	365	365	251	251
abstract_hamiltonians	test_hamiltonians[ham_mu_y_prime_enc_gray_dvalues_16-16-16-heavy-hex]	0.006661587509398277	0.006624432572566751	83	83	387	387	284	284
abstract_hamiltonians	test_hamiltonians[ham_mu_y_prime_enc_gray_dvalues_16-16-16-linear]	0.006057604448869824	0.0060004300614392835	92	92	400	400	265	265
abstract_hamiltonians	test_hamiltonians[ham_enc_gray_dvalues_d-level-16-all-to-all]	0.009256952316858448	0.00818332513434845	128	128	667	667	458	458
abstract_hamiltonians	test_hamiltonians[ham_enc_gray_dvalues_d-level-16-square]	0.010812869809311012	0.009589950703084469	187	187	916	916	597	597
abstract_hamiltonians	test_hamiltonians[ham_enc_gray_dvalues_d-level-16-heavy-hex]	0.011710592465084275	0.010435546246858744	172	172	1003	1003	644	644
abstract_hamiltonians	test_hamiltonians[ham_enc_gray_dvalues_d-level-16-linear]	0.01120065889039705	0.009932251313799306	196	196	1093	1093	680	680
abstract_hamiltonians	test_hamiltonians[ham_mu_y_prime_enc_stdbinary_dvalues_8-8-8-8-8-8-all-to-all]	0.0059589955127901505	0.0049147086921243035	32	32	174	174	58	58
abstract_hamiltonians	test_hamiltonians[ham_mu_y_prime_enc_stdbinary_dvalues_8-8-8-8-8-8-square]	0.006244742626009823	0.006175966547043235	38	38	191	191	71	71
abstract_hamiltonians	test_hamiltonians[ham_mu_y_prime_enc_stdbinary_dvalues_8-8-8-8-8-8-heavy-hex]	0.006613351006544273	0.00657105832395697	36	36	219	219	74	74
abstract_hamiltonians	test_hamiltonians[ham_mu_y_prime_enc_stdbinary_dvalues_8-8-8-8-8-8-linear]	0.005966375199106574	0.006220835439910162	36	36	219	219	74	74
abstract_hamiltonians	test_hamiltonians[ham_gnp-k_4_n-6_rinst-15-all-to-all]	0.006489179278206494	0.005586172892328571	87	87	418	418	263	263
abstract_hamiltonians	test_hamiltonians[ham_gnp-k_4_n-6_rinst-15-square]	0.007944040047396132	0.006815979050265418	111	111	527	527	334	334
abstract_hamiltonians	test_hamiltonians[ham_gnp-k_4_n-6_rinst-15-heavy-hex]	0.007023845758775006	0.006943575407665475	131	131	594	594	403	403
abstract_hamiltonians	test_hamiltonians[ham_gnp-k_4_n-6_rinst-15-linear]	0.008089566356049174	0.006854525649211776	171	171	750	750	436	436
abstract_hamiltonians	test_hamiltonians[ham_ham_JW-6-all-to-all]	0.009354554390644325	0.008094919956902154	225	225	876	876	692	692
abstract_hamiltonians	test_hamiltonians[ham_ham_JW-6-square]	0.011336894311449106	0.009897381028870946	294	294	1182	1182	835	835
abstract_hamiltonians	test_hamiltonians[ham_ham_JW-6-heavy-hex]	0.012326912488788366	0.010725190286480245	329	329	1466	1466	1000	1000
abstract_hamiltonians	test_hamiltonians[ham_ham_JW-6-linear]	0.010250947808706633	0.01011806103039761	378	378	1585	1585	974	974
abstract_hamiltonians	test_hamiltonians[ham_mu_y_prime_enc_unary_dvalues_8-8-8-8-8-8-8-all-to-all]	0.004572922519781516	0.004516618674103155	14	14	134	134	72	72
abstract_hamiltonians	test_hamiltonians[ham_mu_y_prime_enc_unary_dvalues_8-8-8-8-8-8-8-square]	0.00382001025084042	0.0038173715141336276	14	14	134	134	72	72
