group	name	iter	m_wall	p_wall	m_2q	p_2q	m_1q	p_1q	m_depth	p_depth
feynman	test_feynman_transpile[W-state.qasm]	iter_1	0.009065694239889753	0.008330705623000355	10	10	41	41	36	36
feynman	test_feynman_transpile[adder.qasm]	iter_1	0.010140593929947176	0.010143661155150486	94	94	336	336	288	288
feynman	test_feynman_transpile[adder_8.qasm]	iter_1	0.022696340968832374	0.02211002774891399	760	760	2419	2419	994	994
feynman	test_feynman_transpile[barenco_tof_10.qasm]	iter_1	0.016300736468727307	0.016173091701279254	319	319	1149	1149	889	889
feynman	test_feynman_transpile[barenco_tof_3.qasm]	iter_1	0.007875794850167681	0.007876330396024192	36	36	128	128	124	124
feynman	test_feynman_transpile[barenco_tof_4.qasm]	iter_1	0.00852249459973697	0.008511617882262677	78	78	272	272	230	230
feynman	test_feynman_transpile[barenco_tof_5.qasm]	iter_1	0.010018235680704214	0.010039096429329557	119	119	433	433	341	341
feynman	test_feynman_transpile[bigadder.qasm]	iter_1	0.01407334123573759	0.013994581187548845	240	240	807	807	497	497
feynman	test_feynman_transpile[csla_mux_3.qasm]	iter_1	0.011276387775109874	0.011109813331411434	153	153	488	488	246	246
feynman	test_feynman_transpile[csum_mux_9.qasm]	iter_1	0.019224262040741038	0.019026077495744594	411	411	1232	1232	324	324
feynman	test_feynman_transpile[gf2^10_mult.qasm]	iter_1	0.03392663797629731	0.032804080188788214	1804	1804	5164	5164	1786	1786
feynman	test_feynman_transpile[gf2^16_mult.qasm]	iter_1	0.06990722790360451	0.06920373179018498	4690	4690	13283	13283	3600	3600
feynman	test_feynman_transpile[gf2^32_mult.qasm]	iter_1	0.24643903002142906	0.23683105781674385	18246	18246	50984	50984	9183	9183
feynman	test_feynman_transpile[gf2^4_mult.qasm]	iter_1	0.011840416019161542	0.011726540041627822	225	225	687	687	446	446
feynman	test_feynman_transpile[gf2^5_mult.qasm]	iter_1	0.014343671719817555	0.014175099123951415	361	361	1132	1132	608	608
feynman	test_feynman_transpile[gf2^6_mult.qasm]	iter_1	0.01737815936628197	0.017122560812692558	543	543	1639	1639	790	790
feynman	test_feynman_transpile[gf2^7_mult.qasm]	iter_1	0.02066812349949032	0.02036580943968147	785	785	2340	2340	1020	1020
feynman	test_feynman_transpile[gf2^8_mult.qasm]	iter_1	0.02512926897034049	0.0248049147045001	1139	1139	3268	3268	1424	1424
feynman	test_feynman_transpile[gf2^9_mult.qasm]	iter_1	0.02872701087856994	0.02801370548291339	1436	1436	4075	4075	1634	1634
feynman	test_feynman_transpile[grover_5.qasm]	iter_1	0.01709243341314572	0.017087612707506528	470	470	1668	1668	1383	1383
feynman	test_feynman_transpile[ham15-high.qasm]	iter_1	0.07193375738071543	0.07037946781409639	4925	4925	14667	14667	11253	11253
